Date,Remain,Leave
6/23/16,52,48
6/22/16,55,45
6/22/16,51,49
6/22/16,49,46
6/22/16,44,45
6/22/16,54,46
6/22/16,48,42
6/22/16,41,43
6/20/16,45,44
6/19/16,42,44
6/19/16,53,46
6/18/16,45,42
6/17/16,44,43
6/17/16,44,44
6/16/16,42,44
6/15/16,42,45
6/15/16,53,47
6/15/16,45,55
6/14/16,43,49
6/13/16,39,46
6/13/16,45,50
6/13/16,44,49
6/13/16,46,45
6/13/16,40,47
6/12/16,48,49
6/12/16,53,47
6/10/16,42,43
6/10/16,44,42
6/9/16,45,55
6/6/16,43,42
6/5/16,43,48
6/5/16,48,47
6/3/16,41,45
6/3/16,43,41
6/3/16,40,43